id_interaksi,id_mahasiswa,id_konten,waktu_akses,durasi_tonton,feedback,device,status
INT0102,MHS152,KNT150,2025-02-14 02:04:51,58,Sangat Membantu,Tablet,Selesai
INT0103,MHS213,KNT179,2025-02-02 12:51:53,113,Sangat Membantu,Tablet,Belum Selesai
INT0104,MHS044,KNT140,2025-03-11 00:04:17,68,Sangat Membantu,Laptop,Belum Selesai
INT0105,MHS060,KNT035,2025-01-09 07:32:18,99,Sangat Membantu,Tablet,Belum Selesai
INT0106,MHS073,KNT101,2024-12-28 13:13:55,79,Sangat Membantu,Laptop,Belum Selesai
INT0107,MHS179,KNT106,2025-04-11 18:12:03,81,Bermanfaat,Laptop,Belum Selesai
INT0108,MHS160,KNT083,2025-03-01 22:03:24,98,Sangat Membantu,HP,Selesai
INT0109,MHS176,KNT116,2024-12-05 22:08:12,75,Kurang,Tablet,Belum Selesai
INT0110,MHS234,KNT007,2025-01-12 03:13:28,42,Bermanfaat,HP,Belum Selesai
INT0111,MHS106,KNT046,2025-04-06 09:30:28,9,Sangat Membantu,Tablet,Belum Selesai
INT0112,MHS267,KNT117,2024-12-26 15:11:35,67,Sangat Membantu,HP,Belum Selesai
INT0113,MHS248,KNT152,2025-03-07 11:26:06,56,Bermanfaat,Tablet,Belum Selesai
INT0114,MHS179,KNT183,2025-01-15 21:48:56,67,Bermanfaat,Tablet,Selesai
INT0115,MHS244,KNT052,2025-05-15 01:02:58,70,Bermanfaat,Laptop,Belum Selesai
INT0116,MHS050,KNT117,2025-04-20 09:18:34,80,Kurang,Tablet,Belum Selesai
INT0117,MHS225,KNT024,2024-12-16 16:45:08,97,Bermanfaat,HP,Selesai
INT0118,MHS232,KNT065,2025-02-01 05:59:08,83,Sangat Membantu,HP,Selesai
INT0119,MHS164,KNT083,2024-11-19 06:43:39,91,Kurang,Tablet,Belum Selesai
INT0120,MHS035,KNT178,2024-12-19 04:07:12,120,Bermanfaat,Tablet,Selesai
INT0121,MHS154,KNT167,2025-03-15 20:55:58,109,Kurang,Laptop,Belum Selesai
INT0122,MHS023,KNT183,2025-01-10 14:42:36,116,Kurang,HP,Belum Selesai
INT0123,MHS059,KNT042,2025-02-11 15:01:39,67,Kurang,Laptop,Selesai
INT0124,MHS012,KNT184,2024-11-25 18:32:08,34,Bermanfaat,HP,Belum Selesai
INT0125,MHS176,KNT188,2024-12-01 04:28:11,96,Kurang,Tablet,Selesai
INT0126,MHS056,KNT032,2025-05-12 05:27:51,12,Bermanfaat,HP,Belum Selesai
INT0127,MHS085,KNT024,2024-11-27 22:43:49,72,Kurang,HP,Belum Selesai
INT0128,MHS125,KNT030,2024-12-23 00:55:43,7,Sangat Membantu,Tablet,Selesai
INT0129,MHS265,KNT181,2025-04-15 21:33:10,59,Bermanfaat,HP,Selesai
INT0130,MHS090,KNT116,2025-03-09 20:27:12,78,Sangat Membantu,Tablet,Belum Selesai
INT0131,MHS283,KNT163,2025-01-31 03:45:02,45,Bermanfaat,HP,Belum Selesai
INT0132,MHS082,KNT093,2025-02-24 02:52:03,75,Kurang,Tablet,Selesai
INT0133,MHS170,KNT022,2025-02-02 23:19:21,13,Kurang,HP,Belum Selesai
INT0134,MHS287,KNT135,2025-01-14 02:02:02,39,Kurang,HP,Selesai
INT0135,MHS219,KNT182,2025-02-24 17:14:49,119,Kurang,Laptop,Belum Selesai
INT0136,MHS237,KNT099,2025-01-30 10:21:32,87,Kurang,Laptop,Selesai
INT0137,MHS119,KNT187,2025-03-14 10:18:15,58,Bermanfaat,Laptop,Belum Selesai
INT0138,MHS208,KNT131,2024-12-23 20:40:13,118,Bermanfaat,HP,Belum Selesai
INT0139,MHS095,KNT157,2025-01-24 21:48:58,65,Sangat Membantu,HP,Belum Selesai
INT0140,MHS096,KNT041,2025-04-23 06:47:42,19,Sangat Membantu,HP,Belum Selesai
INT0141,MHS222,KNT097,2025-02-24 10:41:34,68,Sangat Membantu,HP,Belum Selesai
INT0142,MHS203,KNT141,2025-02-13 23:41:10,84,Kurang,Laptop,Belum Selesai
INT0143,MHS015,KNT098,2025-05-03 08:17:39,87,Bermanfaat,Tablet,Belum Selesai
INT0144,MHS102,KNT012,2025-02-25 06:07:00,49,Kurang,HP,Belum Selesai
INT0145,MHS231,KNT197,2025-01-13 13:03:19,62,Sangat Membantu,Laptop,Belum Selesai
INT0146,MHS220,KNT044,2025-02-28 14:20:38,94,Sangat Membantu,Laptop,Belum Selesai
INT0147,MHS200,KNT086,2025-04-24 22:44:38,60,Bermanfaat,HP,Belum Selesai
INT0148,MHS003,KNT145,2025-05-09 13:03:53,7,Kurang,HP,Belum Selesai
INT0149,MHS110,KNT169,2025-02-21 06:19:58,25,Sangat Membantu,Tablet,Selesai
INT0150,MHS106,KNT039,2025-05-11 04:27:20,41,Kurang,Laptop,Selesai
INT0151,MHS143,KNT042,2025-02-22 01:59:50,97,Bermanfaat,HP,Selesai
INT0152,MHS033,KNT038,2024-12-28 04:14:39,29,Kurang,Tablet,Selesai
INT0153,MHS296,KNT046,2025-03-31 07:23:34,65,Bermanfaat,HP,Selesai
INT0154,MHS053,KNT197,2025-04-15 02:47:51,49,Sangat Membantu,Tablet,Selesai
INT0155,MHS275,KNT183,2025-05-07 07:02:40,61,Kurang,Laptop,Belum Selesai
INT0156,MHS096,KNT014,2025-04-12 20:08:03,34,Kurang,HP,Belum Selesai
INT0157,MHS188,KNT108,2025-03-28 00:57:47,69,Kurang,HP,Belum Selesai
INT0158,MHS167,KNT079,2025-01-24 17:16:22,33,Kurang,Tablet,Belum Selesai
INT0159,MHS101,KNT080,2025-03-22 08:41:11,80,Bermanfaat,HP,Belum Selesai
INT0160,MHS235,KNT187,2024-12-24 17:52:03,92,Bermanfaat,Tablet,Selesai
INT0161,MHS059,KNT197,2024-12-10 04:27:08,48,Kurang,Laptop,Belum Selesai
INT0162,MHS135,KNT115,2025-03-22 20:20:07,82,Sangat Membantu,Laptop,Selesai
INT0163,MHS251,KNT074,2025-03-16 20:34:15,114,Bermanfaat,HP,Belum Selesai
INT0164,MHS271,KNT161,2025-01-28 00:20:46,112,Kurang,HP,Selesai
INT0165,MHS161,KNT047,2025-01-04 16:25:05,96,Kurang,Tablet,Belum Selesai
INT0166,MHS199,KNT031,2025-01-28 23:01:16,89,Bermanfaat,Laptop,Belum Selesai
INT0167,MHS201,KNT034,2025-04-20 04:01:14,64,Bermanfaat,HP,Belum Selesai
INT0168,MHS059,KNT052,2025-02-24 18:20:23,21,Kurang,Laptop,Selesai
INT0169,MHS179,KNT001,2025-02-23 10:00:23,118,Kurang,Tablet,Selesai
INT0170,MHS181,KNT160,2025-03-04 10:30:08,42,Bermanfaat,HP,Selesai
INT0171,MHS235,KNT196,2025-05-16 01:13:35,97,Bermanfaat,HP,Belum Selesai
INT0172,MHS089,KNT065,2025-03-05 12:42:10,96,Sangat Membantu,Tablet,Selesai
INT0173,MHS153,KNT004,2025-04-06 22:42:22,54,Sangat Membantu,HP,Belum Selesai
INT0174,MHS044,KNT118,2025-02-07 23:57:49,58,Bermanfaat,HP,Belum Selesai
INT0175,MHS069,KNT128,2025-01-15 01:04:43,111,Kurang,HP,Selesai
INT0176,MHS161,KNT128,2025-04-21 11:39:54,91,Bermanfaat,HP,Belum Selesai
INT0177,MHS061,KNT140,2025-03-24 18:39:11,88,Kurang,HP,Selesai
INT0178,MHS123,KNT002,2024-12-30 20:33:28,99,Bermanfaat,HP,Selesai
INT0179,MHS157,KNT156,2025-03-24 23:11:18,51,Bermanfaat,HP,Belum Selesai
INT0180,MHS060,KNT127,2025-02-14 03:54:33,106,Sangat Membantu,Laptop,Selesai
INT0181,MHS094,KNT061,2024-11-30 12:55:55,65,Kurang,HP,Belum Selesai
INT0182,MHS192,KNT056,2025-01-27 07:24:17,107,Bermanfaat,HP,Selesai
INT0183,MHS073,KNT151,2025-02-25 09:53:47,113,Kurang,Tablet,Belum Selesai
INT0184,MHS262,KNT169,2025-04-15 18:45:10,25,Kurang,Laptop,Selesai
INT0185,MHS199,KNT122,2024-11-21 17:03:09,84,Kurang,HP,Selesai
INT0186,MHS215,KNT117,2025-03-13 20:00:55,31,Kurang,Tablet,Belum Selesai
INT0187,MHS071,KNT105,2025-05-10 12:54:20,41,Kurang,Laptop,Belum Selesai
INT0188,MHS295,KNT114,2025-01-28 02:54:50,93,Kurang,HP,Belum Selesai
INT0189,MHS197,KNT021,2025-03-29 15:46:49,100,Bermanfaat,HP,Selesai
INT0190,MHS217,KNT154,2025-01-01 14:08:58,16,Sangat Membantu,HP,Selesai
INT0191,MHS096,KNT154,2025-04-02 09:10:48,90,Kurang,Laptop,Belum Selesai
INT0192,MHS250,KNT002,2024-12-27 20:19:12,66,Bermanfaat,Tablet,Belum Selesai
INT0193,MHS276,KNT063,2024-12-03 14:49:58,21,Kurang,Laptop,Selesai
INT0194,MHS089,KNT141,2025-03-07 01:27:40,27,Sangat Membantu,Tablet,Selesai
INT0195,MHS285,KNT072,2025-02-13 12:50:12,30,Kurang,Laptop,Selesai
INT0196,MHS086,KNT159,2025-04-16 15:33:34,25,Bermanfaat,Tablet,Selesai
INT0197,MHS251,KNT161,2024-12-12 01:16:43,82,Bermanfaat,Laptop,Selesai
INT0198,MHS148,KNT143,2025-03-30 11:51:15,67,Kurang,Tablet,Selesai
INT0199,MHS072,KNT054,2025-03-01 15:24:37,17,Sangat Membantu,Tablet,Selesai
INT0200,MHS096,KNT013,2024-11-20 18:44:58,106,Kurang,HP,Belum Selesai
INT0201,MHS162,KNT048,2025-02-04 16:35:41,58,Bermanfaat,Laptop,Selesai
INT0202,MHS231,KNT038,2025-04-19 03:15:58,68,Kurang,Tablet,Belum Selesai
INT0203,MHS028,KNT015,2025-01-05 16:06:26,43,Sangat Membantu,Tablet,Belum Selesai
INT0204,MHS184,KNT168,2025-01-24 17:02:36,35,Bermanfaat,Laptop,Selesai
INT0205,MHS005,KNT090,2025-05-07 09:06:45,31,Bermanfaat,Tablet,Selesai
INT0206,MHS249,KNT010,2025-05-12 15:08:24,76,Bermanfaat,Laptop,Selesai
INT0207,MHS070,KNT038,2024-11-21 11:58:58,11,Kurang,HP,Belum Selesai
INT0208,MHS100,KNT009,2025-04-12 05:28:04,7,Bermanfaat,Laptop,Selesai
INT0209,MHS197,KNT171,2025-03-22 20:30:46,50,Bermanfaat,Tablet,Belum Selesai
INT0210,MHS288,KNT148,2025-05-13 03:46:05,117,Kurang,HP,Belum Selesai
INT0211,MHS259,KNT155,2025-04-16 12:38:19,38,Kurang,HP,Belum Selesai
INT0212,MHS254,KNT077,2025-03-19 03:33:45,50,Sangat Membantu,Tablet,Belum Selesai
INT0213,MHS210,KNT085,2025-02-05 04:01:43,91,Kurang,Laptop,Belum Selesai
INT0214,MHS252,KNT023,2025-03-13 21:41:54,25,Bermanfaat,Tablet,Selesai
INT0215,MHS213,KNT013,2025-02-06 21:30:06,27,Bermanfaat,Laptop,Belum Selesai
INT0216,MHS228,KNT028,2025-03-21 01:00:26,110,Sangat Membantu,Tablet,Belum Selesai
INT0217,MHS251,KNT107,2025-01-17 07:18:06,115,Bermanfaat,Laptop,Selesai
INT0218,MHS086,KNT046,2024-12-12 07:25:45,119,Kurang,HP,Selesai
INT0219,MHS043,KNT042,2025-04-02 23:43:52,69,Sangat Membantu,Tablet,Selesai
INT0220,MHS290,KNT173,2025-04-30 07:05:16,9,Kurang,Laptop,Selesai
INT0221,MHS016,KNT073,2024-12-26 10:32:38,108,Bermanfaat,Laptop,Belum Selesai
INT0222,MHS113,KNT157,2025-01-12 02:09:15,13,Kurang,Tablet,Selesai
INT0223,MHS150,KNT170,2025-01-12 02:38:47,48,Kurang,HP,Belum Selesai
INT0224,MHS017,KNT178,2025-01-17 07:05:31,60,Sangat Membantu,Tablet,Selesai
INT0225,MHS141,KNT180,2025-05-01 13:19:28,19,Kurang,Laptop,Belum Selesai
INT0226,MHS116,KNT153,2025-02-13 20:12:51,84,Sangat Membantu,HP,Belum Selesai
INT0227,MHS276,KNT147,2025-03-10 13:53:17,34,Sangat Membantu,Laptop,Selesai
INT0228,MHS148,KNT144,2025-02-02 18:52:06,20,Bermanfaat,HP,Selesai
INT0229,MHS087,KNT046,2025-03-21 02:57:01,76,Kurang,HP,Selesai
INT0230,MHS235,KNT117,2025-04-06 00:39:23,33,Kurang,HP,Belum Selesai
INT0231,MHS290,KNT192,2024-12-16 01:07:01,67,Sangat Membantu,Laptop,Selesai
INT0232,MHS254,KNT149,2025-02-15 03:21:16,38,Sangat Membantu,Tablet,Selesai
INT0233,MHS282,KNT093,2025-05-06 03:10:25,48,Sangat Membantu,Tablet,Selesai
INT0234,MHS262,KNT010,2024-11-19 07:38:13,105,Kurang,Laptop,Belum Selesai
INT0235,MHS058,KNT024,2025-01-23 15:40:58,50,Bermanfaat,Laptop,Belum Selesai
INT0236,MHS294,KNT197,2025-01-16 23:38:08,103,Bermanfaat,Laptop,Belum Selesai
INT0237,MHS059,KNT077,2025-04-19 20:29:25,10,Bermanfaat,Laptop,Belum Selesai
INT0238,MHS138,KNT083,2025-05-14 13:41:48,103,Bermanfaat,Tablet,Selesai
INT0239,MHS279,KNT095,2024-12-01 19:01:28,117,Bermanfaat,Laptop,Selesai
INT0240,MHS188,KNT098,2025-04-22 21:11:37,76,Bermanfaat,Tablet,Belum Selesai
INT0241,MHS278,KNT018,2025-01-14 12:58:47,39,Kurang,HP,Belum Selesai
INT0242,MHS022,KNT195,2025-04-06 20:25:14,119,Sangat Membantu,HP,Selesai
INT0243,MHS226,KNT110,2024-12-04 16:48:15,24,Bermanfaat,Laptop,Belum Selesai
INT0244,MHS280,KNT141,2025-01-21 01:18:58,114,Sangat Membantu,Laptop,Selesai
INT0245,MHS112,KNT017,2025-02-21 19:48:32,93,Bermanfaat,HP,Belum Selesai
INT0246,MHS218,KNT075,2025-04-17 13:32:13,116,Bermanfaat,HP,Belum Selesai
INT0247,MHS053,KNT121,2025-03-17 11:42:18,70,Sangat Membantu,Laptop,Belum Selesai
INT0248,MHS127,KNT035,2025-05-03 13:19:12,82,Kurang,Laptop,Selesai
INT0249,MHS153,KNT032,2025-05-04 15:43:27,90,Kurang,Tablet,Belum Selesai
INT0250,MHS017,KNT178,2025-02-16 02:43:05,18,Sangat Membantu,Tablet,Selesai
INT0251,MHS231,KNT071,2024-12-28 06:27:21,95,Sangat Membantu,Laptop,Selesai
INT0252,MHS135,KNT085,2025-02-06 21:53:09,11,Bermanfaat,Laptop,Selesai
INT0253,MHS179,KNT135,2024-12-23 16:43:12,61,Kurang,HP,Belum Selesai
INT0254,MHS045,KNT106,2025-02-23 19:35:56,107,Kurang,Tablet,Belum Selesai
INT0255,MHS225,KNT135,2025-03-06 20:05:48,63,Kurang,Laptop,Selesai
INT0256,MHS061,KNT054,2024-12-30 17:23:24,112,Kurang,HP,Selesai
INT0257,MHS122,KNT179,2025-02-17 16:38:00,101,Kurang,Tablet,Selesai
INT0258,MHS108,KNT054,2025-01-13 08:28:03,19,Bermanfaat,HP,Belum Selesai
INT0259,MHS180,KNT157,2024-12-28 15:20:56,18,Kurang,Laptop,Belum Selesai
INT0260,MHS220,KNT015,2024-12-24 17:38:20,105,Bermanfaat,Tablet,Selesai
INT0261,MHS085,KNT028,2025-04-30 10:50:56,83,Sangat Membantu,HP,Belum Selesai
INT0262,MHS072,KNT147,2025-01-09 00:17:12,83,Bermanfaat,Laptop,Belum Selesai
INT0263,MHS106,KNT187,2025-01-04 03:41:06,105,Sangat Membantu,Laptop,Selesai
INT0264,MHS106,KNT162,2025-03-03 05:12:27,114,Sangat Membantu,Laptop,Belum Selesai
INT0265,MHS031,KNT136,2025-01-13 13:26:04,18,Bermanfaat,Tablet,Selesai
INT0266,MHS292,KNT023,2024-11-26 16:59:46,110,Bermanfaat,Tablet,Belum Selesai
INT0267,MHS180,KNT124,2025-05-13 12:52:41,76,Kurang,Tablet,Belum Selesai
INT0268,MHS273,KNT186,2025-02-15 09:04:42,10,Bermanfaat,Tablet,Selesai
INT0269,MHS144,KNT177,2024-12-02 03:47:28,69,Kurang,HP,Belum Selesai
INT0270,MHS276,KNT155,2025-01-02 06:31:49,18,Sangat Membantu,Laptop,Selesai
INT0271,MHS087,KNT181,2025-03-20 12:22:43,26,Bermanfaat,Laptop,Belum Selesai
INT0272,MHS166,KNT074,2025-05-11 17:07:25,85,Sangat Membantu,Tablet,Belum Selesai
INT0273,MHS150,KNT110,2025-02-26 11:58:50,20,Kurang,Tablet,Selesai
INT0274,MHS149,KNT156,2024-12-11 13:44:07,116,Bermanfaat,Tablet,Selesai
INT0275,MHS294,KNT082,2025-02-19 17:09:42,31,Kurang,Laptop,Selesai
INT0276,MHS137,KNT067,2025-05-15 09:50:59,51,Sangat Membantu,Laptop,Belum Selesai
INT0277,MHS264,KNT135,2025-04-08 02:22:29,25,Bermanfaat,Tablet,Belum Selesai
INT0278,MHS049,KNT148,2025-05-12 11:20:08,98,Sangat Membantu,Tablet,Belum Selesai
INT0279,MHS070,KNT160,2025-04-21 12:13:45,42,Sangat Membantu,HP,Belum Selesai
INT0280,MHS211,KNT091,2025-04-24 11:56:29,95,Sangat Membantu,Laptop,Belum Selesai
INT0281,MHS031,KNT034,2024-12-27 15:50:03,61,Sangat Membantu,Tablet,Selesai
INT0282,MHS142,KNT158,2025-05-03 21:15:13,102,Bermanfaat,HP,Belum Selesai
INT0283,MHS065,KNT145,2025-04-20 05:06:31,69,Bermanfaat,HP,Belum Selesai
INT0284,MHS068,KNT128,2024-11-23 17:51:51,68,Sangat Membantu,HP,Selesai
INT0285,MHS128,KNT134,2025-02-12 06:17:33,98,Sangat Membantu,Tablet,Belum Selesai
INT0286,MHS075,KNT187,2025-05-12 23:08:01,116,Sangat Membantu,Tablet,Selesai
INT0287,MHS165,KNT162,2025-05-10 21:00:28,17,Bermanfaat,Laptop,Selesai
INT0288,MHS127,KNT128,2025-01-10 20:52:34,24,Bermanfaat,HP,Selesai
INT0289,MHS202,KNT127,2025-02-19 02:23:55,87,Bermanfaat,HP,Selesai
